group_rank,group_id,group_name,market_lane,lifecycle_stage,market_fit_grade,theme_id,theme_evidence_grade,relative_strength_pct,relative_strength_grade,breadth_grade,turnover_concentration_grade,core_role_hit_grade,contra_evidence_penalty,market_board_amount_raw,market_board_count_raw,clx_stock_count,shortlist_count,core_hit_count,clx_group_amount_yi,clx_group_avg_return_pct,representative_symbols,fit_reason,contra_evidence,sort_key,evidence_ids
54,环保工程及服务,环保工程及服务,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,3.163074,3.153034122015341,688485 九州一轨;301203 国泰环保,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|环保工程及服务,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
55,瓷砖地板,瓷砖地板,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.814087,4.67550593161199,603226 菲林格尔,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|瓷砖地板,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
56,生物制品,生物制品,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.670362,11.446249033255995,688163 赛伦生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|生物制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
57,电力/公用事业,电力/公用事业,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,4.968495,3.3342100572032463,301638 南网数字;001239 永达股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|电力/公用事业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
58,租赁,租赁,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.921969,-0.1526717557251866,600901 江苏金租,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|租赁,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
59,纺织行业,纺织行业,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,1.236266,2.757169710452334,600851 海欣股份;000955 欣龙控股,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|纺织行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
60,装修装饰,装修装饰,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.228936,10.012674271229404,605287 德才股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|装修装饰,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
61,超市,超市,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,7.050816,10.011743981209609,603031 安孚科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|超市,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
62,钒电池,钒电池,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,6.521907,9.996467679265276,603067 振华股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|钒电池,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
63,铜,铜,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,4.766237,3.5260930888575404,688456 有研粉材,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|铜,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
64,鞋帽,鞋帽,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,4.50826,7.41215367790019,603608 天创时尚;603958 哈森股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|鞋帽,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
65,食品行业,食品行业,unclassified,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,4,0,0,7.556372,0.4296580827723663,000848 承德露露;600866 星湖科技;600873 梅花生物;603020 爱普股份,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,6|5|5|5|3|5|4|2|食品行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
66,华为鸿蒙,华为鸿蒙,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,good,unknown,2,,,3,0,0,43.994277,12.502562264500964,300496 中科创达;300663 科蓝软件;300766 每日互动,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|1|5|4|2|华为鸿蒙,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
67,仪器仪表,仪器仪表,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,5,0,0,14.077937,4.304986886553808,002197 证通电子;002338 奥普光电;300354 东华测试;600848 上海临港;688112 鼎阳科技,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|仪器仪表,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
68,其他电子,其他电子,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,16.274489,5.043444101722964,301379 天山电子;301413 安培龙;301566 达利凯普,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|其他电子,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
69,农药化肥,农药化肥,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,14.104399,1.2732657486474859,002470 金正大;600226 亨通股份;600596 新安股份,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|农药化肥,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
70,创新药,创新药,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,10,0,0,11.063954,1.8729623545579899,300584 海辰药业;688136 科兴制药;688177 百奥泰;688180 君实生物;688185 康希诺,已有业务行业但未映射冻结主题 | CLX组内10只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|创新药,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
71,化工行业,化工行业,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,11,0,0,18.970755,2.0356240472005784,000818 航锦科技;000985 大庆华科;002037 保利联合;002476 新叶股份;002632 道明光学,已有业务行业但未映射冻结主题 | CLX组内11只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|化工行业,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
72,服装鞋类,服装鞋类,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,21.935369,4.181818181818198,002517 恺英网络,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|服装鞋类,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
73,汽车制造,汽车制造,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,4,0,0,26.886027000000002,6.127607207625524,002715 登云股份;300100 双林股份;601689 拓普集团;603009 北特科技,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|汽车制造,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
74,重组概念,重组概念,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,1,0,0,15.018314000000002,3.0876494023904355,600392 盛和资源,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|重组概念,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
75,风电,风电,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,neutral,unknown,2,,,3,0,0,14.811302999999999,3.793555089600057,300712 永福股份;600032 浙江新能;603667 五洲新春,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|2|5|4|2|风电,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
76,CRO概念,CRO概念,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.9515,7.285595337218975,300683 海特生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|CRO概念,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
77,CXO概念,CXO概念,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.366102,3.0783159800814808,688117 圣诺生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|CXO概念,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
78,LED,LED,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,1.239755,3.5196003679879073,300650 太龙股份;300808 久量股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|LED,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
79,中药,中药,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.523187,2.172839506172841,002864 盘龙药业,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|中药,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
80,乡村振兴,乡村振兴,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.805601,4.0609137055837685,002779 中坚科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|乡村振兴,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
81,乳品,乳品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,4.975980000000001,2.882533381450736,002910 庄园牧场;605388 均瑶健康,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|乳品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
82,交通运输,交通运输,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,2.378788,0.9559214020180672,000089 深圳机场;600835 上海机电,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|交通运输,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
83,体外诊断,体外诊断,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,3,0,0,0.7124429999999999,2.2996643552732157,688075 安旭生物;688298 东方生物;688656 浩欧博,已有业务行业但未映射冻结主题 | CLX组内3只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|体外诊断,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
84,供水供气,供水供气,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.716869,1.8115942028985588,601199 江南水务,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|供水供气,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
85,其他专用设备,其他专用设备,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,6.812997,9.372599231754176,688400 凌云光,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他专用设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
86,其他化学原料,其他化学原料,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.676777,0.416418798334317,002805 丰元股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他化学原料,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
87,其他医疗服务,其他医疗服务,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.5351229999999999,4.519309778142988,688315 诺禾致源,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他医疗服务,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
88,其他塑料制品,其他塑料制品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.48612,5.650060753341424,300539 横河精密,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他塑料制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
89,其他家居用品,其他家居用品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,0.904735,2.652833456365278,001216 华瓷股份;301193 家联科技,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他家居用品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
90,其他建材,其他建材,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,0.982185,4.00702135125467,301010 晶雪节能;603038 华立股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他建材,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
91,其他橡胶制品,其他橡胶制品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.556329,1.3586956521739024,603033 三维股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他橡胶制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
92,其他汽车零部件,其他汽车零部件,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,1.551647,5.903083700440526,301000 肇民科技,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他汽车零部件,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
93,其他生物制品,其他生物制品,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.350366,2.989352989352967,301166 优宁维,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他生物制品,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
94,其他石化,其他石化,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.356599,2.7318475916606744,002778 中晟高科,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他石化,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
95,其他纺织,其他纺织,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.434066,5.147717099373317,300877 金春股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他纺织,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
96,其他通信设备,其他通信设备,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.381538,4.178733967728587,688283 坤恒顺维,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他通信设备,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
97,其他酒类,其他酒类,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,2.9879,10.06006006006006,603779 威龙股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|其他酒类,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
98,军工电子,军工电子,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,4,0,0,7.40473,7.460374020179133,301302 华如科技;688636 智明达;688682 霍莱沃;688788 科思科技,已有业务行业但未映射冻结主题 | CLX组内4只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|军工电子,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
99,农药,农药,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,1.030071,1.3766557673235758,003042 中农联合;301665 泰禾股份,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|农药,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
100,化学制剂,化学制剂,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,5,0,0,7.655607999999999,3.0707865284290836,002940 昂利康;300723 一品红;301130 西点药业;603367 辰欣药业;688247 宣泰医药,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|化学制剂,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
101,医疗器械/医药服务,医疗器械/医药服务,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,7,0,0,2.940499,2.098007721000582,001367 海森药业;301507 民生健康;301509 金凯生科;301515 港通医疗;603207 小方制药,已有业务行业但未映射冻结主题 | CLX组内7只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|医疗器械/医药服务,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
102,医疗研发外包,医疗研发外包,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,0.9077310000000001,2.975927893081854,688238 和元生物;688265 南模生物,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|医疗研发外包,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
103,医疗耗材,医疗耗材,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,5,0,0,2.471362,2.127583084327491,300653 正海生物;688108 赛诺医疗;688236 春立医疗;688314 康拓医疗;688366 昊海生科,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|医疗耗材,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
104,华为汽车,华为汽车,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,5,0,0,6.2963320000000005,4.958480042638231,002786 银宝山新;002976 瑞玛精密;002997 瑞鹄模具;300648 星云股份;300680 隆盛科技,已有业务行业但未映射冻结主题 | CLX组内5只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|华为汽车,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
105,印染,印染,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.344214,2.9925187032419087,605055 迎丰股份,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|印染,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
106,原料药,原料药,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,1.4414120000000001,1.797016919329747,300702 天宇股份;301211 亨迪药业,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|原料药,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
107,园林工程,园林工程,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,1,0,0,0.666534,3.5315985130111693,603717 天域生物,已有业务行业但未映射冻结主题 | CLX组内1只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|园林工程,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
108,固废治理,固废治理,technical-reversal-only,not_located,low,,unknown,,unknown,unknown,watch,unknown,2,,,2,0,0,1.0183389999999999,2.851433451262653,002973 侨银股份;301068 大地海洋,已有业务行业但未映射冻结主题 | CLX组内2只，shortlist 0只，冻结核心命中0只,业务分组已补齐；冻结主题缺映射或板块强度待补证,7|5|5|5|3|5|4|2|固废治理,PHASE-A-MARKET-STATE;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;CLX-STOCK-RANKING
